Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Housing,,11.27,11.27,F
2014,February,ALL India,,,Housing,,12.05,12.05,F
2014,March,ALL India,,,Housing,,12.75,12.75,F
2014,April,ALL India,,,Housing,,13.33,13.33,F
2014,May,ALL India,,,Housing,,13.73,13.73,F
2014,June,ALL India,,,Housing,,6.85,6.85,F
2014,July,ALL India,,,Housing,,6.59,6.59,F
2014,August,ALL India,,,Housing,,6.06,6.06,F
2014,September,ALL India,,,Housing,,5.83,5.83,F
2014,October,ALL India,,,Housing,,5.61,5.61,F
2014,November,ALL India,,,Housing,,5.4,5.4,F
2014,December,ALL India,,,Housing,,5.24,5.24,F
2015,January,ALL India,,,Housing,,5.11,5.11,F
2015,February,ALL India,,,Housing,,4.98,4.98,F
2015,March,ALL India,,,Housing,,4.77,4.77,F
2015,April,ALL India,,,Housing,,4.65,4.65,F
2015,May,ALL India,,,Housing,,4.64,4.64,F
2015,June,ALL India,,,Housing,,4.48,4.48,F
2015,July,ALL India,,,Housing,,4.44,4.44,F
2015,August,ALL India,,,Housing,,4.68,4.68,F
2015,September,ALL India,,,Housing,,4.74,4.74,F
2015,October,ALL India,,,Housing,,4.88,4.88,F
2015,November,ALL India,,,Housing,,4.95,4.95,F
2015,December,ALL India,,,Housing,,5.06,5.06,F
2016,January,ALL India,,,Housing,,5.2,5.2,F
2016,February,ALL India,,,Housing,,5.33,5.33,F
2016,March,ALL India,,,Housing,,5.31,5.31,F
2016,April,ALL India,,,Housing,,5.37,5.37,F
2016,May,ALL India,,,Housing,,5.35,5.35,F
2016,June,ALL India,,,Housing,,5.46,5.46,F
2016,July,ALL India,,,Housing,,5.42,5.42,F
2016,August,ALL India,,,Housing,,5.29,5.29,F
2016,September,ALL India,,,Housing,,5.18,5.18,F
2016,October,ALL India,,,Housing,,5.15,5.15,F
2016,November,ALL India,,,Housing,,5.04,5.04,F
2016,December,ALL India,,,Housing,,4.98,4.98,F
2017,January,ALL India,,,Housing,,5.02,5.02,F
2017,February,ALL India,,,Housing,,4.9,4.9,F
2017,March,ALL India,,,Housing,,4.96,4.96,F
2017,April,ALL India,,,Housing,,4.86,4.86,F
2017,May,ALL India,,,Housing,,4.84,4.84,F
2017,June,ALL India,,,Housing,,4.7,4.7,F
2017,July,ALL India,,,Housing,,4.91,4.91,F
2017,August,ALL India,,,Housing,,5.58,5.58,F
2017,September,ALL India,,,Housing,,6.1,6.1,F
2017,October,ALL India,,,Housing,,6.68,6.68,F
2017,November,ALL India,,,Housing,,7.36,7.36,F
2017,December,ALL India,,,Housing,,8.25,8.25,F
2018,January,ALL India,,,Housing,,8.33,8.33,F
2018,February,ALL India,,,Housing,,8.28,8.28,F
2018,March,ALL India,,,Housing,,8.31,8.31,F
2018,April,ALL India,,,Housing,,8.5,8.5,F
2018,May,ALL India,,,Housing,,8.4,8.4,F
2018,June,ALL India,,,Housing,,8.45,8.45,F
2018,July,ALL India,,,Housing,,8.3,8.3,F
2018,August,ALL India,,,Housing,,7.59,7.59,F
2018,September,ALL India,,,Housing,,7.07,7.07,F
2018,October,ALL India,,,Housing,,6.55,6.55,F
2018,November,ALL India,,,Housing,,5.99,5.99,F
2018,December,ALL India,,,Housing,,5.32,5.32,F
2019,January,ALL India,,,Housing,,5.2,5.2,F
2019,February,ALL India,,,Housing,,5.1,5.1,F
2019,March,ALL India,,,Housing,,4.93,4.93,F
2019,April,ALL India,,,Housing,,4.76,4.76,F
2019,May,ALL India,,,Housing,,4.82,4.82,F
2019,June,ALL India,,,Housing,,4.84,4.84,F
2019,July,ALL India,,,Housing,,4.87,4.87,F
2019,August,ALL India,,,Housing,,4.84,4.84,F
2019,September,ALL India,,,Housing,,4.75,4.75,F
2019,October,ALL India,,,Housing,,4.58,4.58,F
2019,November,ALL India,,,Housing,,4.49,4.49,F
2019,December,ALL India,,,Housing,,4.3,4.3,F
2020,January,ALL India,,,Housing,,4.2,4.2,F
2020,February,ALL India,,,Housing,,4.24,4.24,F
2020,March,ALL India,,,Housing,,3.69,3.69,F
2020,June,ALL India,,,Housing,,3.55,3.55,F
2020,July,ALL India,,,Housing,,3.25,3.25,F
2020,August,ALL India,,,Housing,,3.1,3.1,F
2020,September,ALL India,,,Housing,,2.83,2.83,F
2020,October,ALL India,,,Housing,,3.27,3.27,F
2020,November,ALL India,,,Housing,,3.19,3.19,F
2020,December,ALL India,,,Housing,,3.21,3.21,F
2021,January,ALL India,,,Housing,,3.25,3.25,F
2021,February,ALL India,,,Housing,,3.23,3.23,F
2021,March,ALL India,,,Housing,,3.5,3.5,F
2021,April,ALL India,,,Housing,,3.73,3.73,F
2021,May,ALL India,,,Housing,,3.86,3.86,F
2021,June,ALL India,,,Housing,,3.75,3.75,F
2021,July,ALL India,,,Housing,,3.86,3.86,F
2021,August,ALL India,,,Housing,,3.9,3.9,F
2021,September,ALL India,,,Housing,,3.58,3.58,F
2021,October,ALL India,,,Housing,,3.54,3.54,F
2021,November,ALL India,,,Housing,,3.66,3.66,F
2021,December,ALL India,,,Housing,,3.61,3.61,F
2022,January,ALL India,,,Housing,,3.52,3.52,F
2022,February,ALL India,,,Housing,,3.57,3.57,F
2022,March,ALL India,,,Housing,,3.38,3.38,F
2022,April,ALL India,,,Housing,,3.47,3.47,F
2022,May,ALL India,,,Housing,,3.65,3.65,F
2022,June,ALL India,,,Housing,,3.93,3.93,F
2022,July,ALL India,,,Housing,,3.9,3.9,F
2022,August,ALL India,,,Housing,,4.06,4.06,F
2022,September,ALL India,,,Housing,,4.57,4.57,F
2022,October,ALL India,,,Housing,,4.65,4.65,F
2022,November,ALL India,,,Housing,,4.63,4.63,F
2022,December,ALL India,,,Housing,,4.47,4.47,F
2023,January,ALL India,,,Housing,,4.62,4.62,F
2023,February,ALL India,,,Housing,,4.83,4.83,F
2023,March,ALL India,,,Housing,,4.96,4.96,F
2023,April,ALL India,,,Housing,,4.91,4.91,F
2023,May,ALL India,,,Housing,,4.84,4.84,F
2023,June,ALL India,,,Housing,,4.56,4.56,F
2023,July,ALL India,,,Housing,,4.47,4.47,F
2023,August,ALL India,,,Housing,,4.38,4.38,F
2023,September,ALL India,,,Housing,,3.95,3.95,F
2023,October,ALL India,,,Housing,,3.8,3.8,F
2023,November,ALL India,,,Housing,,3.55,3.55,F
2023,December,ALL India,,,Housing,,3.63,3.63,F
2024,January,ALL India,,,Housing,,3.2,3.2,F
2024,February,ALL India,,,Housing,,2.88,2.88,F
2024,March,ALL India,,,Housing,,2.71,2.71,F
2024,April,ALL India,,,Housing,,2.68,2.68,F
2024,May,ALL India,,,Housing,,2.56,2.56,F
2024,June,ALL India,,,Housing,,2.69,2.69,F
2024,July,ALL India,,,Housing,,2.68,2.68,F
2024,August,ALL India,,,Housing,,2.66,2.66,F
2024,September,ALL India,,,Housing,,2.72,2.72,F
2024,October,ALL India,,,Housing,,2.81,2.81,F
2024,November,ALL India,,,Housing,,2.87,2.87,F
2024,December,ALL India,,,Housing,,2.71,2.71,F
