Date,Clothing and footwear,Fuel and light,Housing,Miscellaneous,Pan; tobacco; and intoxicants
2014-01-01,8.66,6.35,11.27,6.45,8.94
2014-02-01,8.52,6.04,12.05,6.23,8.51
2014-03-01,8.48,6.03,12.75,6.3,8.07
2014-04-01,8.43,5.63,13.33,6.39,7.91
2014-05-01,8.39,4.75,13.73,6.68,7.55
2014-06-01,8.23,4.52,6.85,6.14,7.58
2014-07-01,8.27,4.3,6.59,5.99,7.71
2014-08-01,8.04,3.92,6.06,5.38,7.82
2014-09-01,7.33,3.44,5.83,4.31,7.86
2014-10-01,7.27,3.43,5.61,4.3,7.64
2014-11-01,6.85,3.49,5.4,3.74,7.96
2014-12-01,6.27,3.4,5.24,3.45,7.89
2015-01-01,6.15,3.83,5.11,3.07,8.3
2015-02-01,6.38,4.72,4.98,2.89,9.15
2015-03-01,6.27,5.16,4.77,3.05,9.2
2015-04-01,6.07,5.51,4.65,3.23,9.4
2015-05-01,6.04,5.96,4.64,3.85,9.5
2015-06-01,6.26,5.83,4.48,4.19,9.68
2015-07-01,5.88,5.44,4.44,3.44,9.76
2015-08-01,5.85,5.79,4.68,3.08,9.42
2015-09-01,5.91,5.34,4.74,3.34,9.27
2015-10-01,5.62,5.32,4.88,3.51,9.41
2015-11-01,5.76,5.28,4.95,3.78,9.42
2015-12-01,5.74,5.45,5.06,3.95,9.35
2016-01-01,5.71,5.32,5.2,3.95,9.03
2016-02-01,5.6,4.59,5.33,4.38,8.55
2016-03-01,5.5,3.47,5.31,4.01,8.51
2016-04-01,5.56,3.03,5.37,4.26,8.04
2016-05-01,5.37,2.94,5.35,3.96,7.66
2016-06-01,5.01,2.92,5.46,3.85,7.35
2016-07-01,5.23,2.75,5.42,4.01,6.83
2016-08-01,5.21,2.49,5.29,4.18,6.86
2016-09-01,5.19,3.07,5.18,4.51,6.82
2016-10-01,5.24,2.9,5.15,4.66,7.02
2016-11-01,4.98,2.8,5.04,4.83,6.29
2016-12-01,4.96,3.77,4.98,4.73,6.39
2017-01-01,4.71,3.34,5.02,4.98,6.36
2017-02-01,4.38,3.9,4.9,4.79,6.25
2017-03-01,4.52,5.47,4.96,4.86,6.3
2017-04-01,4.58,6.13,4.86,4.25,6.05
