Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Clothing and footwear,9.21,8.03,8.66,F
2014,February,ALL India,,,Clothing and footwear,9.07,7.8,8.52,F
2014,March,ALL India,,,Clothing and footwear,9.02,7.66,8.48,F
2014,April,ALL India,,,Clothing and footwear,9.07,7.43,8.43,F
2014,May,ALL India,,,Clothing and footwear,9.12,7.29,8.39,F
2014,June,ALL India,,,Clothing and footwear,8.95,7.16,8.23,F
2014,July,ALL India,,,Clothing and footwear,9.07,7.21,8.27,F
2014,August,ALL India,,,Clothing and footwear,8.64,6.99,8.04,F
2014,September,ALL India,,,Clothing and footwear,7.82,6.57,7.33,F
2014,October,ALL India,,,Clothing and footwear,7.85,6.16,7.27,F
2014,November,ALL India,,,Clothing and footwear,7.43,5.75,6.85,F
2014,December,ALL India,,,Clothing and footwear,6.75,5.54,6.27,F
2015,January,ALL India,,,Clothing and footwear,6.71,5.16,6.15,F
2015,February,ALL India,,,Clothing and footwear,7.11,5.14,6.38,F
2015,March,ALL India,,,Clothing and footwear,7.08,4.95,6.27,F
2015,April,ALL India,,,Clothing and footwear,6.96,4.84,6.07,F
2015,May,ALL India,,,Clothing and footwear,7,4.65,6.04,F
2015,June,ALL India,,,Clothing and footwear,7.29,4.8,6.26,F
2015,July,ALL India,,,Clothing and footwear,6.65,4.51,5.88,F
2015,August,ALL India,,,Clothing and footwear,6.88,4.24,5.85,F
2015,September,ALL India,,,Clothing and footwear,7.09,4.05,5.91,F
2015,October,ALL India,,,Clothing and footwear,6.79,3.95,5.62,F
2015,November,ALL India,,,Clothing and footwear,7,3.93,5.76,F
2015,December,ALL India,,,Clothing and footwear,6.97,3.75,5.74,F
2016,January,ALL India,,,Clothing and footwear,6.94,3.91,5.71,F
2016,February,ALL India,,,Clothing and footwear,6.72,3.9,5.6,F
2016,March,ALL India,,,Clothing and footwear,6.61,3.8,5.5,F
2016,April,ALL India,,,Clothing and footwear,6.67,3.71,5.56,F
2016,May,ALL India,,,Clothing and footwear,6.31,3.78,5.37,F
2016,June,ALL India,,,Clothing and footwear,5.94,3.52,5.01,F
2016,July,ALL India,,,Clothing and footwear,6.39,3.42,5.23,F
2016,August,ALL India,,,Clothing and footwear,6.28,3.58,5.21,F
2016,September,ALL India,,,Clothing and footwear,6.08,3.65,5.19,F
2016,October,ALL India,,,Clothing and footwear,6.28,3.56,5.24,F
2016,November,ALL India,,,Clothing and footwear,5.86,3.46,4.98,F
2016,December,ALL India,,,Clothing and footwear,5.91,3.45,4.96,F
2017,January,ALL India,,,Clothing and footwear,5.58,3.28,4.71,F
2017,February,ALL India,,,Clothing and footwear,5.1,3.19,4.38,F
2017,March,ALL India,,,Clothing and footwear,5.23,3.27,4.52,F
2017,April,ALL India,,,Clothing and footwear,5.36,3.34,4.58,F
2017,May,ALL India,,,Clothing and footwear,5.19,3.17,4.41,F
2017,June,ALL India,,,Clothing and footwear,4.94,2.84,4.17,F
2017,July,ALL India,,,Clothing and footwear,5.13,2.76,4.22,F
2017,August,ALL India,,,Clothing and footwear,5.4,3.22,4.58,F
2017,September,ALL India,,,Clothing and footwear,5.37,3.37,4.63,F
2017,October,ALL India,,,Clothing and footwear,5.33,3.59,4.68,F
2017,November,ALL India,,,Clothing and footwear,5.82,3.89,5.04,F
