Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Food and beverages,9.95,9.07,9.66,F
2014,February,ALL India,,,Food and beverages,8.47,7.46,8.16,F
2014,March,ALL India,,,Food and beverages,9.01,8.11,8.61,F
2014,April,ALL India,,,Food and beverages,9.43,8.64,9.19,F
2014,May,ALL India,,,Food and beverages,9.34,8.01,8.88,F
2014,June,ALL India,,,Food and beverages,8.05,6.09,7.31,F
2014,July,ALL India,,,Food and beverages,9.02,8.17,8.72,F
2014,August,ALL India,,,Food and beverages,9.05,7.78,8.58,F
2014,September,ALL India,,,Food and beverages,6.37,6.29,6.34,F
2014,October,ALL India,,,Food and beverages,4.42,4.14,4.33,F
2014,November,ALL India,,,Food and beverages,1.96,2.03,2.04,F
2014,December,ALL India,,,Food and beverages,3.88,5.26,4.39,F
2015,January,ALL India,,,Food and beverages,5.86,6.93,6.3,F
2015,February,ALL India,,,Food and beverages,6.5,7.38,6.76,F
2015,March,ALL India,,,Food and beverages,5.94,6.81,6.29,F
2015,April,ALL India,,,Food and beverages,5.46,5.41,5.44,F
2015,May,ALL India,,,Food and beverages,5.25,5.08,5.13,F
2015,June,ALL India,,,Food and beverages,5.94,5.33,5.73,F
2015,July,ALL India,,,Food and beverages,3.41,1.89,2.81,F
2015,August,ALL India,,,Food and beverages,3.59,1.71,2.92,F
2015,September,ALL India,,,Food and beverages,4.55,3.79,4.29,F
2015,October,ALL India,,,Food and beverages,5.36,5.41,5.34,F
2015,November,ALL India,,,Food and beverages,6,6.3,6.08,F
2015,December,ALL India,,,Food and beverages,6.57,6.05,6.31,F
2016,January,ALL India,,,Food and beverages,7,6.23,6.66,F
2016,February,ALL India,,,Food and beverages,6.11,4.37,5.52,F
2016,March,ALL India,,,Food and beverages,5.93,4.04,5.19,F
2016,April,ALL India,,,Food and beverages,6.63,5.78,6.29,F
2016,May,ALL India,,,Food and beverages,7.4,6.74,7.2,F
2016,June,ALL India,,,Food and beverages,7.42,7.55,7.46,F
2016,July,ALL India,,,Food and beverages,7.92,7.95,7.96,F
2016,August,ALL India,,,Food and beverages,6.32,4.96,5.83,F
2016,September,ALL India,,,Food and beverages,4.73,3.19,4.12,F
2016,October,ALL India,,,Food and beverages,4.25,2.79,3.71,F
2016,November,ALL India,,,Food and beverages,3.17,1.43,2.56,F
2016,December,ALL India,,,Food and beverages,2.51,0.99,1.98,F
2017,January,ALL India,,,Food and beverages,1.75,0.61,1.37,F
2017,February,ALL India,,,Food and beverages,2.53,2.32,2.39,F
2017,March,ALL India,,,Food and beverages,2.3,2.87,2.54,F
2017,April,ALL India,,,Food and beverages,1.29,1.21,1.29,F
2017,May,ALL India,,,Food and beverages,0.15,-0.74,-0.22,F
2017,June,ALL India,,,Food and beverages,-0.81,-1.81,-1.17,F
2017,July,ALL India,,,Food and beverages,0.65,0,0.43,F
2017,August,ALL India,,,Food and beverages,1.88,2.11,1.96,F
2017,September,ALL India,,,Food and beverages,1.75,1.69,1.76,F
2017,October,ALL India,,,Food and beverages,2.18,2.49,2.26,F
2017,November,ALL India,,,Food and beverages,4.25,4.66,4.41,F
2017,December,ALL India,,,Food and beverages,5.05,4.52,4.85,F
2018,January,ALL India,,,Food and beverages,5.01,3.94,4.58,F
2018,February,ALL India,,,Food and beverages,3.82,2.65,3.46,F
2018,March,ALL India,,,Food and beverages,3.9,1.66,3.08,F
2018,April,ALL India,,,Food and beverages,3.82,1.72,3,F
2018,May,ALL India,,,Food and beverages,3.96,2.1,3.29,F
2018,June,ALL India,,,Food and beverages,3.78,1.99,3.11,F
2018,July,ALL India,,,Food and beverages,2.53,0.36,1.73,F
2018,August,ALL India,,,Food and beverages,1.49,-0.28,0.78,F
2018,September,ALL India,,,Food and beverages,1.22,0.65,1.01,F
2018,October,ALL India,,,Food and beverages,-0.14,-0.21,-0.14,F
2018,November,ALL India,,,Food and beverages,-1.69,-1.7,-1.69,F
2018,December,ALL India,,,Food and beverages,-2.12,-0.86,-1.64,F
2019,January,ALL India,,,Food and beverages,-2.14,0.07,-1.29,F
2019,February,ALL India,,,Food and beverages,-1.08,1.77,-0.07,F
2019,March,ALL India,,,Food and beverages,-0.94,3.56,0.66,F
2019,April,ALL India,,,Food and beverages,-0.43,4.42,1.38,F
2019,May,ALL India,,,Food and beverages,0.07,5.43,2.03,F
2019,June,ALL India,,,Food and beverages,0.71,5.2,2.37,F
2019,July,ALL India,,,Food and beverages,0.7,5.27,2.33,F
2019,August,ALL India,,,Food and beverages,0.91,6.42,2.96,F
2019,September,ALL India,,,Food and beverages,2.97,7.63,4.7,F
2019,October,ALL India,,,Food and beverages,5.78,8.97,6.93,F
2019,November,ALL India,,,Food and beverages,7.79,10.42,8.73,F
2019,December,ALL India,,,Food and beverages,11.41,13.59,12.16,F
2020,January,ALL India,,,Food and beverages,11.35,12.45,11.72,F
2020,February,ALL India,,,Food and beverages,9.18,9.93,9.45,F
2020,March,ALL India,,,Food and beverages,7.94,7.52,7.82,F
2020,June,ALL India,,,Food and beverages,8.01,7.83,7.92,F
2020,July,ALL India,,,Food and beverages,8.6,8.26,8.5,F
2020,August,ALL India,,,Food and beverages,8.4,8.18,8.29,F
2020,September,ALL India,,,Food and beverages,9.69,9.97,9.8,F
2020,October,ALL India,,,Food and beverages,10.18,9.94,10.09,F
2020,November,ALL India,,,Food and beverages,9.01,8.72,8.89,F
2020,December,ALL India,,,Food and beverages,3.43,4.54,3.87,F
2021,January,ALL India,,,Food and beverages,1.76,4.15,2.67,F
2021,February,ALL India,,,Food and beverages,3.27,6,4.25,F
2021,March,ALL India,,,Food and beverages,4.25,6.86,5.24,F
2021,April,ALL India,,,Food and beverages,1.83,3.78,2.6,F
2021,May,ALL India,,,Food and beverages,4.82,6.07,5.24,F
2021,June,ALL India,,,Food and beverages,5.38,5.86,5.58,F
2021,July,ALL India,,,Food and beverages,4.12,5,4.46,F
2021,August,ALL India,,,Food and beverages,3.65,3.91,3.73,F
2021,September,ALL India,,,Food and beverages,1.57,1.76,1.61,F
2021,October,ALL India,,,Food and beverages,1.29,2.69,1.82,F
2021,November,ALL India,,,Food and beverages,1.82,3.89,2.6,F
2021,December,ALL India,,,Food and beverages,3.88,5.39,4.47,F
2022,January,ALL India,,,Food and beverages,5.39,5.91,5.58,F
2022,February,ALL India,,,Food and beverages,5.95,5.85,5.93,F
2022,March,ALL India,,,Food and beverages,7.83,6.92,7.47,F
2022,April,ALL India,,,Food and beverages,8.35,7.72,8.1,F
2022,May,ALL India,,,Food and beverages,7.62,8.1,7.84,F
2022,June,ALL India,,,Food and beverages,7.41,7.88,7.56,F
2022,July,ALL India,,,Food and beverages,6.68,6.85,6.71,F
2022,August,ALL India,,,Food and beverages,7.48,7.64,7.57,F
2022,September,ALL India,,,Food and beverages,8.27,8.67,8.41,F
2022,October,ALL India,,,Food and beverages,7.19,6.88,7.1,F
2022,November,ALL India,,,Food and beverages,5.43,4.5,5.07,F
2022,December,ALL India,,,Food and beverages,5.19,3.72,4.58,F
2023,January,ALL India,,,Food and beverages,6.64,5.4,6.19,F
2023,February,ALL India,,,Food and beverages,6.59,5.64,6.26,F
2023,March,ALL India,,,Food and beverages,4.92,5.42,5.11,F
2023,April,ALL India,,,Food and beverages,4.09,4.36,4.16,F
2023,May,ALL India,,,Food and beverages,3.51,3.15,3.35,F
2023,June,ALL India,,,Food and beverages,4.7,4.63,4.69,F
2023,July,ALL India,,,Food and beverages,10.14,11.15,10.57,F
2023,August,ALL India,,,Food and beverages,8.97,9.53,9.19,F
2023,September,ALL India,,,Food and beverages,6.38,6.16,6.3,F
2023,October,ALL India,,,Food and beverages,6.26,6.33,6.29,F
2023,November,ALL India,,,Food and beverages,7.7,8.44,8.02,F
2023,December,ALL India,,,Food and beverages,8.26,9.35,8.7,F
2024,January,ALL India,,,Food and beverages,7.26,8.19,7.58,F
2024,February,ALL India,,,Food and beverages,7.5,8.23,7.76,F
2024,March,ALL India,,,Food and beverages,7.84,7.52,7.74,F
2024,April,ALL India,,,Food and beverages,7.98,7.69,7.87,F
2024,May,ALL India,,,Food and beverages,7.81,7.92,7.87,F
2024,June,ALL India,,,Food and beverages,8.31,8.48,8.36,F
2024,July,ALL India,,,Food and beverages,5.47,4.46,5.06,F
2024,August,ALL India,,,Food and beverages,5.65,4.81,5.3,F
2024,September,ALL India,,,Food and beverages,8.25,8.55,8.36,F
2024,October,ALL India,,,Food and beverages,9.66,9.85,9.69,F
2024,November,ALL India,,,Food and beverages,8.41,7.99,8.2,F
2024,December,ALL India,,,Food and beverages,8,7.22,7.69,F
