Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Miscellaneous,6.35,6.56,6.45,F
2014,February,ALL India,,,Miscellaneous,6.23,6.42,6.23,F
2014,March,ALL India,,,Miscellaneous,6.41,6.2,6.3,F
2014,April,ALL India,,,Miscellaneous,6.6,5.99,6.39,F
2014,May,ALL India,,,Miscellaneous,6.68,6.48,6.68,F
2014,June,ALL India,,,Miscellaneous,6.45,5.75,6.14,F
2014,July,ALL India,,,Miscellaneous,6.2,5.78,5.99,F
2014,August,ALL India,,,Miscellaneous,5.58,5.17,5.38,F
2014,September,ALL India,,,Miscellaneous,4.6,3.84,4.31,F
2014,October,ALL India,,,Miscellaneous,4.49,3.93,4.3,F
2014,November,ALL India,,,Miscellaneous,3.92,3.47,3.74,F
2014,December,ALL India,,,Miscellaneous,3.72,3.28,3.45,F
2015,January,ALL India,,,Miscellaneous,3.53,2.62,3.07,F
2015,February,ALL India,,,Miscellaneous,3.7,1.98,2.89,F
2015,March,ALL India,,,Miscellaneous,3.77,2.15,3.05,F
2015,April,ALL India,,,Miscellaneous,4.04,2.51,3.23,F
2015,May,ALL India,,,Miscellaneous,4.56,3.13,3.85,F
2015,June,ALL India,,,Miscellaneous,4.99,3.39,4.19,F
2015,July,ALL India,,,Miscellaneous,4.42,2.47,3.44,F
2015,August,ALL India,,,Miscellaneous,4.14,2.02,3.08,F
2015,September,ALL India,,,Miscellaneous,4.49,2.29,3.34,F
2015,October,ALL India,,,Miscellaneous,4.56,2.46,3.51,F
2015,November,ALL India,,,Miscellaneous,4.82,2.82,3.78,F
2015,December,ALL India,,,Miscellaneous,4.9,2.91,3.95,F
2016,January,ALL India,,,Miscellaneous,4.89,3,3.95,F
2016,February,ALL India,,,Miscellaneous,5.13,3.53,4.38,F
2016,March,ALL India,,,Miscellaneous,4.85,3.08,4.01,F
2016,April,ALL India,,,Miscellaneous,4.91,3.5,4.26,F
2016,May,ALL India,,,Miscellaneous,4.79,3.04,3.96,F
2016,June,ALL India,,,Miscellaneous,4.58,3.1,3.85,F
2016,July,ALL India,,,Miscellaneous,4.83,3.1,4.01,F
2016,August,ALL India,,,Miscellaneous,5.08,3.18,4.18,F
2016,September,ALL India,,,Miscellaneous,5.13,3.7,4.51,F
2016,October,ALL India,,,Miscellaneous,5.45,3.78,4.66,F
2016,November,ALL India,,,Miscellaneous,5.43,4.03,4.83,F
2016,December,ALL India,,,Miscellaneous,5.43,4.03,4.73,F
2017,January,ALL India,,,Miscellaneous,5.41,4.54,4.98,F
2017,February,ALL India,,,Miscellaneous,5.05,4.44,4.79,F
2017,March,ALL India,,,Miscellaneous,5.2,4.52,4.86,F
2017,April,ALL India,,,Miscellaneous,4.77,3.64,4.25,F
2017,May,ALL India,,,Miscellaneous,4.41,3.29,3.81,F
2017,June,ALL India,,,Miscellaneous,3.89,2.59,3.29,F
2017,July,ALL India,,,Miscellaneous,3.88,2.59,3.28,F
2017,August,ALL India,,,Miscellaneous,4.43,3.25,3.85,F
2017,September,ALL India,,,Miscellaneous,4.32,3.32,3.83,F
2017,October,ALL India,,,Miscellaneous,3.98,2.98,3.48,F
2017,November,ALL India,,,Miscellaneous,4.44,2.97,3.72,F
2017,December,ALL India,,,Miscellaneous,4.43,3.05,3.79,F
2018,January,ALL India,,,Miscellaneous,4.5,3.03,3.78,F
2018,February,ALL India,,,Miscellaneous,4.33,3.35,3.85,F
2018,March,ALL India,,,Miscellaneous,4.63,3.67,4.16,F
2018,April,ALL India,,,Miscellaneous,5.25,4.65,4.96,F
2018,May,ALL India,,,Miscellaneous,5.63,5.14,5.43,F
2018,June,ALL India,,,Miscellaneous,5.85,5.54,5.66,F
2018,July,ALL India,,,Miscellaneous,5.75,5.85,5.8,F
2018,August,ALL India,,,Miscellaneous,5.32,5.82,5.6,F
2018,September,ALL India,,,Miscellaneous,5.45,5.94,5.65,F
2018,October,ALL India,,,Miscellaneous,6.96,6.43,6.73,F
2018,November,ALL India,,,Miscellaneous,6.38,5.84,6.15,F
2018,December,ALL India,,,Miscellaneous,7.35,5.28,6.38,F
2019,January,ALL India,,,Miscellaneous,7.11,4.77,6.04,F
2019,February,ALL India,,,Miscellaneous,7.32,4.66,6.02,F
2019,March,ALL India,,,Miscellaneous,6.83,4.48,5.68,F
2019,April,ALL India,,,Miscellaneous,6.26,3.82,5.1,F
2019,May,ALL India,,,Miscellaneous,5.77,3.41,4.62,F
2019,June,ALL India,,,Miscellaneous,5.68,3.17,4.52,F
2019,July,ALL India,,,Miscellaneous,6.03,3.3,4.73,F
2019,August,ALL India,,,Miscellaneous,6.08,3.28,4.71,F
2019,September,ALL India,,,Miscellaneous,5.82,2.88,4.45,F
2019,October,ALL India,,,Miscellaneous,4.22,2.64,3.45,F
2019,November,ALL India,,,Miscellaneous,4.28,3.1,3.67,F
2019,December,ALL India,,,Miscellaneous,3.88,4.56,4.17,F
2020,January,ALL India,,,Miscellaneous,4.52,5.01,4.75,F
2020,February,ALL India,,,Miscellaneous,4.36,4.53,4.51,F
2020,March,ALL India,,,Miscellaneous,4.35,4.44,4.43,F
2020,June,ALL India,,,Miscellaneous,5.86,6.29,6.06,F
2020,July,ALL India,,,Miscellaneous,6.1,7.66,6.81,F
2020,August,ALL India,,,Miscellaneous,6.07,7.91,6.99,F
2020,September,ALL India,,,Miscellaneous,6.12,7.74,6.89,F
2020,October,ALL India,,,Miscellaneous,6.04,7.79,6.88,F
2020,November,ALL India,,,Miscellaneous,6.23,7.78,7.01,F
2020,December,ALL India,,,Miscellaneous,5.98,7.19,6.6,F
2021,January,ALL India,,,Miscellaneous,5.81,7.3,6.49,F
2021,February,ALL India,,,Miscellaneous,5.93,7.88,6.82,F
2021,March,ALL India,,,Miscellaneous,5.85,8.15,6.95,F
2021,April,ALL India,,,Miscellaneous,6.47,5.61,6.12,F
2021,May,ALL India,,,Miscellaneous,7.98,6.5,7.25,F
2021,June,ALL India,,,Miscellaneous,6.46,8.03,7.21,F
2021,July,ALL India,,,Miscellaneous,6.41,7.04,6.71,F
2021,August,ALL India,,,Miscellaneous,6.25,6.58,6.4,F
2021,September,ALL India,,,Miscellaneous,6.16,6.7,6.38,F
2021,October,ALL India,,,Miscellaneous,6.6,7.09,6.83,F
2021,November,ALL India,,,Miscellaneous,6.44,7.08,6.75,F
2021,December,ALL India,,,Miscellaneous,6.48,6.91,6.65,F
2022,January,ALL India,,,Miscellaneous,6.32,6.8,6.55,F
2022,February,ALL India,,,Miscellaneous,6.42,6.76,6.58,F
2022,March,ALL India,,,Miscellaneous,6.99,7.07,7.02,F
2022,April,ALL India,,,Miscellaneous,7.72,8.37,8.03,F
2022,May,ALL India,,,Miscellaneous,6.08,7.55,6.82,F
2022,June,ALL India,,,Miscellaneous,5.88,6.78,6.28,F
2022,July,ALL India,,,Miscellaneous,5.53,6.26,5.91,F
2022,August,ALL India,,,Miscellaneous,5.7,6.3,5.95,F
2022,September,ALL India,,,Miscellaneous,5.68,6.47,6.06,F
2022,October,ALL India,,,Miscellaneous,5.59,6.24,5.9,F
2022,November,ALL India,,,Miscellaneous,5.69,6.42,6.01,F
2022,December,ALL India,,,Miscellaneous,5.72,6.59,6.17,F
2023,January,ALL India,,,Miscellaneous,5.94,6.49,6.21,F
2023,February,ALL India,,,Miscellaneous,5.98,6.34,6.12,F
