Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2014,January,ALL India,,,Fuel and light,7.11,5.31,6.35,F
2014,February,ALL India,,,Fuel and light,6.59,5.11,6.04,F
2014,March,ALL India,,,Fuel and light,6.88,4.62,6.03,F
2014,April,ALL India,,,Fuel and light,6.48,4.23,5.63,F
2014,May,ALL India,,,Fuel and light,5.49,3.64,4.75,F
2014,June,ALL India,,,Fuel and light,5.44,2.96,4.52,F
2014,July,ALL India,,,Fuel and light,5.3,2.76,4.3,F
2014,August,ALL India,,,Fuel and light,5,2.29,3.92,F
2014,September,ALL India,,,Fuel and light,4.23,2.1,3.44,F
2014,October,ALL India,,,Fuel and light,4.3,2.1,3.43,F
2014,November,ALL India,,,Fuel and light,4.17,2.36,3.49,F
2014,December,ALL India,,,Fuel and light,4.08,2.36,3.4,F
2015,January,ALL India,,,Fuel and light,4.78,2.16,3.83,F
2015,February,ALL India,,,Fuel and light,6.01,2.61,4.72,F
2015,March,ALL India,,,Fuel and light,6.35,3.16,5.16,F
2015,April,ALL India,,,Fuel and light,6.88,3.43,5.51,F
2015,May,ALL India,,,Fuel and light,7.5,3.42,5.96,F
2015,June,ALL India,,,Fuel and light,7.17,3.51,5.83,F
2015,July,ALL India,,,Fuel and light,6.68,3.32,5.44,F
2015,August,ALL India,,,Fuel and light,7.28,3.13,5.79,F
2015,September,ALL India,,,Fuel and light,6.82,2.95,5.34,F
2015,October,ALL India,,,Fuel and light,6.87,2.59,5.32,F
2015,November,ALL India,,,Fuel and light,7.08,2.22,5.28,F
2015,December,ALL India,,,Fuel and light,7.07,2.65,5.45,F
2016,January,ALL India,,,Fuel and light,6.59,3.09,5.32,F
2016,February,ALL India,,,Fuel and light,6.25,1.75,4.59,F
2016,March,ALL India,,,Fuel and light,5.31,0.35,3.47,F
2016,April,ALL India,,,Fuel and light,4.79,-0.09,3.03,F
2016,May,ALL India,,,Fuel and light,4.51,0.09,2.94,F
2016,June,ALL India,,,Fuel and light,4.4,0.35,2.92,F
2016,July,ALL India,,,Fuel and light,4.23,0.17,2.75,F
2016,August,ALL India,,,Fuel and light,4.28,-0.52,2.49,F
